,Thr,Recall,Precision,F1-score,N
757,0.04,0.958404,0.890142,0.923012,8
758,0.14,0.958403,0.891802,0.923904,8
759,0.01,0.9584,0.885804,0.920673,8
760,0.08,0.958395,0.890925,0.923429,8
761,0.13,0.958381,0.891769,0.923876,8
762,0.03,0.95838,0.88962,0.922721,8
763,0.15,0.958377,0.891862,0.923924,8
764,0.12,0.958374,0.891589,0.923776,8
765,0.19,0.958371,0.892137,0.924069,8
766,0.1,0.958362,0.891177,0.923549,8
767,0.07,0.958356,0.890725,0.923304,8
768,0.06,0.958352,0.890798,0.923341,8
769,0.09,0.958347,0.891177,0.923543,8
770,0.17,0.958345,0.89201,0.923988,8
771,0.23,0.95834,0.892227,0.924103,8
772,0.28,0.958336,0.892567,0.924283,8
773,0.2,0.958335,0.892123,0.924045,8
774,0.16,0.958322,0.89191,0.923924,8
775,0.18,0.958321,0.892,0.923972,8
776,0.05,0.958311,0.890394,0.923105,8
777,0.21,0.958305,0.89218,0.924061,8
778,0.3,0.95829,0.892648,0.924305,8
779,0.24,0.958281,0.892299,0.924114,8
780,0.34,0.958276,0.89282,0.924391,8
781,0.27,0.958271,0.892528,0.924232,8
782,0.33,0.958269,0.892816,0.924386,8
783,0.26,0.958266,0.892417,0.92417,8
784,0.29,0.958261,0.892432,0.924176,8
785,0.31,0.95825,0.892601,0.924261,8
786,0.36,0.958243,0.892884,0.924409,8
787,0.32,0.95823,0.892822,0.924371,8
788,0.37,0.958214,0.89296,0.924437,8
789,0.35,0.958208,0.892841,0.92437,8
790,0.4,0.958187,0.893187,0.924546,8
791,0.41,0.958169,0.893266,0.92458,8
792,0.39,0.958156,0.893126,0.924499,8
793,0.43,0.958152,0.893596,0.924749,8
794,0.38,0.958144,0.8929,0.924372,8
795,0.42,0.958128,0.893472,0.924671,8
796,0.44,0.958072,0.893815,0.924829,8
797,0.45,0.958057,0.893939,0.924888,8
798,0.46,0.957947,0.894291,0.925025,8
799,0.47,0.957865,0.894495,0.925096,8
800,0.48,0.957742,0.895048,0.925334,8
801,0.49,0.957728,0.895469,0.925553,8
802,0.5,0.957539,0.896265,0.925889,8
803,0.51,0.957404,0.897029,0.926234,8
804,0.52,0.957277,0.897765,0.926566,8
805,0.53,0.956893,0.898984,0.927035,8
806,0.54,0.956685,0.899816,0.92738,8
807,0.55,0.956252,0.901013,0.927811,8
808,0.56,0.955936,0.902052,0.928213,8
809,0.57,0.955563,0.903441,0.928771,8
810,0.58,0.955253,0.904191,0.929021,8
811,0.59,0.954789,0.9057,0.929597,8
812,0.6,0.954462,0.906613,0.929922,8
813,0.61,0.95412,0.908153,0.930569,8
814,0.62,0.953626,0.909605,0.931095,8
815,0.63,0.953392,0.91063,0.93152,8
816,0.64,0.95291,0.911687,0.931842,8
817,0.65,0.952561,0.912692,0.9322,8
818,0.66,0.951989,0.9137,0.932452,8
819,0.67,0.951669,0.914586,0.932759,8
820,0.68,0.951209,0.915587,0.933058,8
821,0.69,0.950772,0.91627,0.933202,8
822,0.7,0.950364,0.917366,0.933573,8
823,0.71,0.949857,0.918225,0.933773,8
824,0.72,0.949379,0.918968,0.933926,8
825,0.73,0.948871,0.919671,0.934043,8
826,0.74,0.948511,0.920363,0.934225,8
827,0.75,0.947992,0.92136,0.934486,8
828,0.76,0.94771,0.922113,0.934736,8
829,0.77,0.947083,0.92289,0.93483,8
830,0.78,0.946675,0.923246,0.934814,8
831,0.79,0.946162,0.924145,0.935024,8
832,0.8,0.945864,0.924656,0.93514,8
833,0.81,0.945394,0.925422,0.935301,8
834,0.82,0.944782,0.926249,0.935424,8
835,0.83,0.944502,0.926949,0.935643,8
836,0.84,0.943748,0.927549,0.935578,8
837,0.85,0.943145,0.928127,0.935576,8
838,0.86,0.942196,0.928763,0.935432,8
839,0.87,0.941239,0.929231,0.935197,8
840,0.88,0.939247,0.930295,0.93475,8
841,0.89,0.936916,0.931051,0.933974,8
842,0.9,0.930478,0.932321,0.931399,8
843,0.91,0.918871,0.934223,0.926483,8
844,0.92,0.905986,0.936036,0.920766,8
845,0.93,0.871603,0.940374,0.904683,8
846,0.94,0.830502,0.94357,0.883433,8
847,0.95,0.725164,0.947918,0.821712,8
848,0.96,0.614009,0.951627,0.746416,8
849,0.97,0.384654,0.957535,0.548835,8
850,0.98,0.21684,0.957969,0.353634,8
851,0.99,0.0363532,0.943099,0.0700079,8
852,0.02,0.953098,0.8915,0.921271,9
853,0.1,0.95306,0.893779,0.922468,9
854,0.14,0.953058,0.89431,0.92275,9
855,0.09,0.953054,0.89363,0.922386,9
856,0.04,0.95304,0.892734,0.921902,9
857,0.03,0.953035,0.892274,0.921654,9
858,0.13,0.953028,0.894322,0.922742,9
859,0.08,0.953021,0.893519,0.922311,9
860,0.06,0.95302,0.893194,0.922138,9
861,0.19,0.953018,0.894578,0.922874,9
862,0.12,0.953013,0.894201,0.922671,9
863,0.01,0.953012,0.888424,0.919585,9
864,0.05,0.953011,0.892948,0.922002,9
865,0.27,0.953005,0.89497,0.923076,9
866,0.16,0.953004,0.894335,0.922738,9
867,0.11,0.952994,0.893898,0.9225,9
868,0.22,0.952993,0.894802,0.922981,9
869,0.07,0.952987,0.893293,0.922175,9
870,0.17,0.952984,0.894515,0.922824,9
871,0.15,0.95298,0.894408,0.922765,9
872,0.25,0.952979,0.894848,0.922999,9
873,0.21,0.952973,0.894744,0.922941,9
874,0.18,0.95297,0.894622,0.922875,9
875,0.31,0.952957,0.895299,0.923228,9
876,0.2,0.952955,0.894644,0.922879,9
877,0.24,0.952952,0.89478,0.92295,9
878,0.37,0.952945,0.895394,0.923273,9
879,0.29,0.952932,0.895,0.923058,9
880,0.3,0.952922,0.89513,0.923122,9
881,0.28,0.952921,0.89515,0.923132,9
882,0.35,0.952918,0.895328,0.923226,9
883,0.23,0.952915,0.894787,0.922936,9
884,0.26,0.952902,0.894942,0.923013,9
885,0.34,0.952883,0.895375,0.923235,9
886,0.38,0.952879,0.89552,0.92331,9
887,0.33,0.952876,0.895335,0.92321,9
888,0.32,0.952871,0.895335,0.923208,9
889,0.39,0.952843,0.895525,0.923295,9
890,0.4,0.95284,0.895695,0.923384,9
891,0.42,0.952787,0.895869,0.923452,9
892,0.41,0.952778,0.895869,0.923448,9
893,0.44,0.952765,0.896355,0.9237,9
894,0.43,0.952763,0.896135,0.923582,9
895,0.45,0.952711,0.896459,0.923729,9
896,0.46,0.952684,0.896779,0.923886,9
897,0.47,0.952573,0.897042,0.923974,9
898,0.48,0.95239,0.897446,0.924102,9
899,0.49,0.952336,0.897915,0.924325,9
900,0.5,0.952201,0.898519,0.924581,9
901,0.51,0.951986,0.899437,0.924966,9
902,0.52,0.951821,0.900213,0.925298,9
903,0.53,0.951473,0.901382,0.925751,9
904,0.54,0.951207,0.902054,0.925979,9
905,0.55,0.950811,0.903313,0.926454,9
906,0.56,0.950407,0.904081,0.926665,9
907,0.57,0.950037,0.905585,0.927279,9
908,0.58,0.949695,0.906266,0.927472,9
909,0.59,0.949208,0.907609,0.927942,9
910,0.6,0.948883,0.908566,0.928287,9
911,0.61,0.948505,0.909987,0.928847,9
912,0.62,0.948013,0.911443,0.929369,9
913,0.63,0.947686,0.912496,0.929758,9
914,0.64,0.947188,0.913715,0.930151,9
915,0.65,0.94682,0.91452,0.93039,9
916,0.66,0.94627,0.915693,0.93073,9
917,0.67,0.945907,0.916353,0.930895,9
918,0.68,0.945437,0.917281,0.931146,9
919,0.69,0.945011,0.917915,0.931266,9
920,0.7,0.944477,0.919126,0.931629,9
921,0.71,0.943948,0.919865,0.931751,9
922,0.72,0.943525,0.920637,0.931941,9
923,0.73,0.942959,0.921267,0.931987,9
924,0.74,0.942583,0.922011,0.932183,9
925,0.75,0.941974,0.923066,0.932424,9
926,0.76,0.941638,0.923788,0.932628,9
927,0.77,0.941086,0.924521,0.93273,9
928,0.78,0.940651,0.924901,0.93271,9
929,0.79,0.940022,0.925726,0.93282,9
930,0.8,0.939643,0.926348,0.932948,9
931,0.81,0.939201,0.926917,0.933018,9
932,0.82,0.938722,0.927725,0.933191,9
933,0.83,0.938392,0.928265,0.933301,9
934,0.84,0.937526,0.929008,0.933247,9
935,0.85,0.936984,0.929643,0.933299,9
936,0.86,0.936052,0.93018,0.933107,9
937,0.87,0.935074,0.930691,0.932878,9
938,0.88,0.933128,0.931662,0.932395,9
939,0.89,0.930896,0.932417,0.931656,9
940,0.9,0.924549,0.933755,0.929129,9
941,0.91,0.913343,0.93557,0.924323,9
942,0.92,0.900841,0.937131,0.918628,9
943,0.93,0.86686,0.940938,0.902381,9
944,0.94,0.826421,0.943538,0.881105,9
945,0.95,0.722831,0.947959,0.820227,9
946,0.96,0.612655,0.952082,0.745554,9
947,0.97,0.384386,0.957702,0.548589,9
948,0.98,0.216834,0.958343,0.353651,9
949,0.99,0.0363532,0.942969,0.0700075,9
